system:index,LST_Celsius,data,timestamp_utc,.geo
2002_07_07,38.76625628140706,2002-07-07,1026000000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_09,32.60238636363639,2002-07-09,1026172800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_11,27.92578767123292,2002-07-11,1026345600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_13,39.417889447236206,2002-07-13,1026518400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_14,37.94130208333336,2002-07-14,1026604800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_15,29.795360443622933,2002-07-15,1026691200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_16,37.99806532663319,2002-07-16,1026777600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_18,41.55919597989953,2002-07-18,1026950400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_20,39.9717587939699,2002-07-20,1027123200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_21,37.55964824120606,2002-07-21,1027209600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_23,39.66963541666668,2002-07-23,1027382400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_25,35.03826923076926,2002-07-25,1027555200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_27,28.47674698795184,2002-07-27,1027728000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_29,33.53000000000003,2002-07-29,1027900800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_08,40.248341708542746,2002-08-08,1028764800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_10,45.5246231155779,2002-08-10,1028937600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_12,33.96608040201007,2002-08-12,1029110400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_15,31.216953125000032,2002-08-15,1029369600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_16,38.58248743718597,2002-08-16,1029456000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_17,43.805577889447264,2002-08-17,1029542400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_21,34.96379396984929,2002-08-21,1029888000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_24,30.202337278106537,2002-08-24,1030147200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_25,36.03000000000003,2002-08-25,1030233600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_26,47.189472361809074,2002-08-26,1030320000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_28,42.08156939040211,2002-08-28,1030492800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_29,34.68812138728326,2002-08-29,1030579200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_30,41.27668341708545,2002-08-30,1030665600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_31,44.395025125628166,2002-08-31,1030752000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_01,42.72218592964827,2002-09-01,1030838400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_02,50.279371859296525,2002-09-02,1030924800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_04,43.19799446749656,2002-09-04,1031097600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_06,35.51000000000005,2002-09-06,1031270400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_07,36.23000000000002,2002-09-07,1031356800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_08,39.15135678391963,2002-09-08,1031443200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_11,38.78360995850625,2002-09-11,1031702400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_14,46.44253768844224,2002-09-14,1031961600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_15,47.204773869346766,2002-09-15,1032048000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_16,46.31173366834174,2002-09-16,1032134400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_17,41.55718592964828,2002-09-17,1032220800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_18,46.14216601815826,2002-09-18,1032307200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_20,50.48623115577891,2002-09-20,1032480000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_21,43.234597989949776,2002-09-21,1032566400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_22,48.47623115577892,2002-09-22,1032652800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_23,42.33000000000004,2002-09-23,1032739200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_24,39.21877551020411,2002-09-24,1032825600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_25,46.54640703517592,2002-09-25,1032912000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_26,40.665678391959815,2002-09-26,1032998400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_27,42.98118090452265,2002-09-27,1033084800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_29,42.917976011994035,2002-09-29,1033257600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_30,39.851532663316625,2002-09-30,1033344000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_01,48.96067839195983,2002-10-01,1033430400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_02,40.87965517241383,2002-10-02,1033516800000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_03,41.44203517587943,2002-10-03,1033603200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_04,46.16871859296485,2002-10-04,1033689600000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_06,46.136608040201054,2002-10-06,1033862400000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_08,39.96085427135681,2002-10-08,1034035200000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_10,35.061213517665166,2002-10-10,1034208000000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
