system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2010_01_01,28.225596590909113,57.71859296482412,2010-01-01,1.262304E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_06,37.670000000000016,7.777638190954773,2010-01-06,1.262736E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_07,36.75000000000006,38.85552763819096,2010-01-07,1.2628224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_13,44.27062814070354,9.36180904522613,2010-01-13,1.2633408E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_15,35.498140703517606,65.0,2010-01-15,1.2635136E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_20,41.78291457286434,74.14572864321607,2010-01-20,1.2639456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_23,38.27000000000004,9.28140703517588,2010-01-23,1.2642048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_24,37.71668341708546,17.31155778894472,2010-01-24,1.2642912E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_25,35.32562814070355,65.0,2010-01-25,1.2643776E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_29,35.589595959596,33.34170854271357,2010-01-29,1.2647232E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_30,35.358271092669476,59.22236180904522,2010-01-30,1.2648096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_01_31,33.09148241206033,65.0,2010-01-31,1.264896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_03,44.51070351758796,65.0,2010-02-03,1.2651552E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_05,45.67615577889449,65.0,2010-02-05,1.265328E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_02_07,46.17130013831261,59.22236180904522,2010-02-07,1.2655008E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
