system:index,LST_Celsius,QC_Day,data,timestamp_utc,.geo
2002_07_07,38.76625628140706,0.0,2002-07-07,1.026E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_13,39.417889447236206,0.0,2002-07-13,1.0265184E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_18,41.55919597989953,0.0,2002-07-18,1.0269504E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_07_20,39.9717587939699,0.0,2002-07-20,1.0271232E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_10,45.5246231155779,0.0,2002-08-10,1.0289376E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_16,38.58248743718597,0.0,2002-08-16,1.029456E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_17,44.07000000000005,0.0,2002-08-17,1.0295424E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_26,47.18583577712615,0.0,2002-08-26,1.03032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_08_30,41.27668341708545,0.0,2002-08-30,1.0306656E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_01,42.47686217008802,0.0,2002-09-01,1.0308384E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_02,50.279371859296525,0.0,2002-09-02,1.0309248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_08,39.15135678391963,0.0,2002-09-08,1.0314432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_14,46.44253768844224,0.0,2002-09-14,1.0319616E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_15,47.204773869346766,0.0,2002-09-15,1.032048E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_16,46.31173366834174,0.0,2002-09-16,1.0321344E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_20,50.48623115577891,0.0,2002-09-20,1.03248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_21,43.19599315068497,0.0,2002-09-21,1.0325664E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_22,48.47623115577892,0.0,2002-09-22,1.0326528E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_09_26,40.665678391959815,0.0,2002-09-26,1.0329984E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_01,48.96067839195983,0.0,2002-10-01,1.0334304E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_04,50.51588744588745,0.0,2002-10-04,1.0336896E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_11,48.567788944723645,0.0,2002-10-11,1.0342944E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2002_10_13,50.89000000000004,0.0,2002-10-13,1.0344672E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
