Data Medicao,Temp_13h30
2007-08-21,
2007-08-22,
2007-08-23,
2007-08-24,25.9
2007-08-25,27.7
2007-08-26,27.15
2007-08-27,26.5
2007-08-28,27.65
2007-08-29,25.9
2007-08-30,25.75
2007-08-31,25.7
2007-09-01,26.05
2007-09-02,24.65
2007-09-03,25.1
2007-09-04,25.65
2007-09-05,23.65
2007-09-06,26.25
2007-09-07,25.65
2007-09-08,26.2
2007-09-09,24.75
2007-09-10,26.05
2007-09-11,25.75
2007-09-12,23.95
2007-09-13,25.95
2007-09-14,25.55
2007-09-15,25.7
2007-09-16,26.0
2007-09-17,29.25
2007-09-18,26.1
2007-09-19,27.9
2007-09-20,27.75
2007-09-21,27.3
2007-09-22,28.05
2007-09-23,26.8
2007-09-24,27.9
2007-09-25,26.85
2007-09-26,28.65
2007-09-27,27.3
2007-09-28,27.65
2007-09-29,28.05
2007-09-30,27.7
2007-10-01,27.8
2007-10-02,27.8
2007-10-03,28.0
2007-10-04,27.6
2007-10-05,27.15
2007-10-06,27.1
2007-10-07,28.4
2007-10-08,28.3
2007-10-09,27.55
2007-10-10,25.8
2007-10-11,28.4
2007-10-12,29.45
2007-10-13,28.5
2007-10-14,28.0
2007-10-15,27.45
2007-10-16,28.5
2007-10-17,27.45
2007-10-18,29.6
2007-10-19,30.15
2007-10-20,29.0
2007-10-21,28.45
2007-10-22,29.65
2007-10-23,29.4
2007-10-24,28.9
2007-10-25,27.75
2007-10-26,29.5
2007-10-27,28.7
2007-10-28,30.05
2007-10-29,29.7
2007-10-30,29.45
2007-10-31,28.45
2007-11-01,29.85
2007-11-02,30.05
2007-11-03,29.75
2007-11-04,28.8
2007-11-05,28.5
2007-11-06,28.65
2007-11-07,29.75
2007-11-08,29.9
2007-11-09,28.6
2007-11-10,29.4
2007-11-11,28.75
2007-11-12,29.3
2007-11-13,30.0
2007-11-14,27.3
2007-11-15,29.1
2007-11-16,
2007-11-17,
2007-11-18,
2007-11-19,
2007-11-20,29.15
2007-11-21,30.15
2007-11-22,28.6
2007-11-23,30.15
2007-11-24,29.2
2007-11-25,29.8
2007-11-26,28.85
2007-11-27,29.2
2007-11-28,29.45
2007-11-29,30.05
2007-11-30,29.05
2007-12-01,28.4
2007-12-02,28.7
2007-12-03,29.4
2007-12-04,29.95
2007-12-05,29.35
2007-12-06,28.6
2007-12-07,29.0
2007-12-08,29.5
2007-12-09,29.3
2007-12-10,29.4
2007-12-11,29.55
2007-12-12,27.0
2007-12-13,26.05
2007-12-14,29.05
2007-12-15,29.0
2007-12-16,30.4
2007-12-17,28.9
2007-12-18,29.65
2007-12-19,30.0
2007-12-20,29.9
2007-12-21,29.95
2007-12-22,29.15
2007-12-23,28.35
2007-12-24,29.15
2007-12-25,29.1
2007-12-26,28.9
2007-12-27,27.7
2007-12-28,27.75
2007-12-29,29.0
2007-12-30,29.35
2007-12-31,27.35
2008-01-01,28.9
2008-01-02,29.45
2008-01-03,29.65
2008-01-04,29.65
2008-01-05,28.95
2008-01-06,29.7
2008-01-07,29.05
2008-01-08,30.7
2008-01-09,29.7
2008-01-10,28.85
2008-01-11,29.45
2008-01-12,29.0
2008-01-13,28.55
2008-01-14,28.3
2008-01-15,28.3
2008-01-16,29.3
2008-01-17,29.35
2008-01-18,28.35
2008-01-19,29.1
2008-01-20,29.0
2008-01-21,27.6
2008-01-22,30.2
2008-01-23,27.75
2008-01-24,27.45
2008-01-25,27.85
2008-01-26,28.35
2008-01-27,27.2
2008-01-28,28.35
2008-01-29,28.4
2008-01-30,29.45
2008-01-31,27.45
2008-02-01,27.25
2008-02-02,28.5
2008-02-03,29.1
2008-02-04,30.3
2008-02-05,28.9
2008-02-06,29.25
2008-02-07,29.3
2008-02-08,30.0
2008-02-09,30.25
2008-02-10,29.55
2008-02-11,29.6
2008-02-12,26.95
2008-02-13,29.0
2008-02-14,30.25
2008-02-15,28.75
2008-02-16,25.65
2008-02-17,26.8
2008-02-18,27.3
2008-02-19,29.5
2008-02-20,30.05
2008-02-21,29.45
2008-02-22,29.65
2008-02-23,29.55
2008-02-24,29.2
2008-02-25,30.0
2008-02-26,26.65
2008-02-27,23.4
2008-02-28,28.15
2008-02-29,27.95
2008-03-01,27.3
2008-03-02,27.95
2008-03-03,
2008-03-04,29.2
2008-03-05,27.85
2008-03-06,28.85
2008-03-07,28.7
2008-03-08,28.2
2008-03-09,28.5
2008-03-10,27.75
2008-03-11,29.15
2008-03-12,28.7
2008-03-13,28.95
2008-03-14,27.6
2008-03-15,27.15
2008-03-16,27.15
2008-03-17,25.8
2008-03-18,26.6
2008-03-19,26.55
2008-03-20,24.2
2008-03-21,25.8
2008-03-22,26.45
2008-03-23,27.6
2008-03-24,27.1
2008-03-25,27.15
2008-03-26,27.25
2008-03-27,27.2
2008-03-28,26.7
2008-03-29,26.85
2008-03-30,26.55
2008-03-31,26.05
2008-04-01,26.55
2008-04-02,24.45
2008-04-03,25.45
2008-04-04,26.65
2008-04-05,26.9
2008-04-06,27.1
2008-04-07,26.4
2008-04-08,26.3
2008-04-09,26.95
2008-04-10,26.25
2008-04-11,26.95
2008-04-12,26.2
2008-04-13,27.45
2008-04-14,26.65
2008-04-15,27.0
2008-04-16,27.05
2008-04-17,26.85
2008-04-18,26.8
2008-04-19,27.5
2008-04-20,27.95
2008-04-21,26.9
2008-04-22,26.55
2008-04-23,25.35
2008-04-24,27.15
2008-04-25,27.3
2008-04-26,27.25
2008-04-27,27.1
2008-04-28,26.45
2008-04-29,27.4
2008-04-30,27.85
2008-05-01,27.3
2008-05-02,27.75
2008-05-03,26.75
2008-05-04,28.25
2008-05-05,27.55
2008-05-06,26.1
2008-05-07,27.85
2008-05-08,26.4
2008-05-09,26.1
2008-05-10,24.95
2008-05-11,23.85
2008-05-12,24.45
2008-05-13,23.85
2008-05-14,24.55
2008-05-15,24.7
2008-05-16,26.3
2008-05-17,25.35
2008-05-18,24.3
2008-05-19,24.3
2008-05-20,25.6
2008-05-21,25.4
2008-05-22,25.85
2008-05-23,24.95
2008-05-24,25.75
2008-05-25,25.15
2008-05-26,25.75
2008-05-27,23.95
2008-05-28,24.85
2008-05-29,24.95
2008-05-30,25.95
2008-05-31,25.8
2008-06-01,24.3
2008-06-02,24.2
2008-06-03,23.95
2008-06-04,24.25
2008-06-05,24.55
2008-06-06,24.75
2008-06-07,25.5
2008-06-08,23.45
2008-06-09,25.6
2008-06-10,24.95
2008-06-11,25.4
2008-06-12,25.6
2008-06-13,24.7
2008-06-14,24.4
2008-06-15,24.95
2008-06-16,25.5
2008-06-17,24.05
2008-06-18,24.45
2008-06-19,24.85
2008-06-20,22.5
2008-06-21,24.6
2008-06-22,25.5
2008-06-23,26.25
2008-06-24,24.8
2008-06-25,24.75
2008-06-26,23.75
2008-06-27,24.9
2008-06-28,25.15
2008-06-29,24.3
2008-06-30,25.35
2008-07-01,23.9
2008-07-02,24.8
2008-07-03,23.6
2008-07-04,23.5
2008-07-05,25.95
2008-07-06,25.85
2008-07-07,24.1
2008-07-08,22.65
2008-07-09,22.45
2008-07-10,25.6
2008-07-11,25.8
2008-07-12,24.9
2008-07-13,23.6
2008-07-14,24.3
2008-07-15,25.3
2008-07-16,22.9
2008-07-17,24.35
2008-07-18,23.35
2008-07-19,22.8
2008-07-20,24.55
2008-07-21,22.0
2008-07-22,23.4
2008-07-23,24.75
2008-07-24,26.25
2008-07-25,26.25
2008-07-26,25.75
2008-07-27,24.0
2008-07-28,24.7
2008-07-29,25.35
2008-07-30,24.3
2008-07-31,25.9
2008-08-01,25.4
2008-08-02,24.6
2008-08-03,24.6
2008-08-04,25.7
2008-08-05,26.4
2008-08-06,25.55
2008-08-07,23.2
2008-08-08,24.75
2008-08-09,25.6
2008-08-10,24.35
2008-08-11,25.55
2008-08-12,25.1
2008-08-13,25.05
2008-08-14,25.3
2008-08-15,25.55
2008-08-16,25.55
2008-08-17,23.2
2008-08-18,24.4
2008-08-19,24.75
2008-08-20,24.25
2008-08-21,26.65
2008-08-22,25.3
2008-08-23,26.7
2008-08-24,25.55
2008-08-25,26.0
2008-08-26,26.4
2008-08-27,25.25
2008-08-28,26.25
2008-08-29,27.7
2008-08-30,27.25
2008-08-31,27.2
2008-09-01,26.2
2008-09-02,26.4
2008-09-03,25.65
2008-09-04,24.6
2008-09-05,26.85
2008-09-06,28.1
2008-09-07,25.7
2008-09-08,27.05
2008-09-09,24.7
2008-09-10,25.5
2008-09-11,26.0
2008-09-12,27.15
2008-09-13,27.5
2008-09-14,26.9
2008-09-15,27.35
2008-09-16,27.8
2008-09-17,27.8
2008-09-18,27.35
2008-09-19,27.15
2008-09-20,27.1
2008-09-21,27.65
2008-09-22,27.85
2008-09-23,28.2
2008-09-24,29.25
2008-09-25,28.65
2008-09-26,27.85
2008-09-27,26.65
2008-09-28,27.55
2008-09-29,30.1
2008-09-30,30.0
2008-10-01,29.35
2008-10-02,28.15
2008-10-03,28.85
2008-10-04,28.6
2008-10-05,28.8
2008-10-06,28.45
2008-10-07,25.55
2008-10-08,27.5
2008-10-09,27.25
2008-10-10,26.7
2008-10-11,27.45
2008-10-12,26.6
2008-10-13,28.5
2008-10-14,28.6
2008-10-15,29.25
2008-10-16,28.5
2008-10-17,29.6
2008-10-18,29.6
2008-10-19,29.5
2008-10-20,30.1
2008-10-21,29.5
2008-10-22,29.2
2008-10-23,28.6
2008-10-24,28.85
2008-10-25,30.25
2008-10-26,30.1
2008-10-27,31.05
2008-10-28,29.75
2008-10-29,28.9
2008-10-30,29.7
2008-10-31,29.35
2008-11-01,28.85
2008-11-02,30.15
2008-11-03,29.15
2008-11-04,30.45
2008-11-05,30.35
2008-11-06,30.1
2008-11-07,30.0
2008-11-08,30.8
2008-11-09,30.2
2008-11-10,29.95
2008-11-11,30.4
2008-11-12,29.3
2008-11-13,29.3
2008-11-14,29.3
2008-11-15,29.25
2008-11-16,29.5
2008-11-17,30.35
2008-11-18,29.6
2008-11-19,29.65
2008-11-20,30.25
2008-11-21,29.15
2008-11-22,29.85
2008-11-23,29.35
2008-11-24,29.85
2008-11-25,29.85
2008-11-26,29.65
2008-11-27,29.35
2008-11-28,30.1
2008-11-29,29.6
2008-11-30,30.65
2008-12-01,30.05
2008-12-02,30.2
2008-12-03,29.65
2008-12-04,30.55
2008-12-05,31.1
2008-12-06,30.5
2008-12-07,30.1
2008-12-08,30.5
2008-12-09,27.55
2008-12-10,29.05
2008-12-11,28.8
2008-12-12,30.0
2008-12-13,29.35
2008-12-14,29.5
2008-12-15,29.6
2008-12-16,30.25
2008-12-17,29.3
2008-12-18,30.1
2008-12-19,29.6
2008-12-20,29.6
2008-12-21,26.35
2008-12-22,28.75
2008-12-23,29.3
2008-12-24,29.05
2008-12-25,29.25
2008-12-26,28.85
2008-12-27,29.45
2008-12-28,29.75
2008-12-29,29.6
2008-12-30,28.4
2008-12-31,29.5
2009-01-01,29.65
2009-01-02,30.5
2009-01-03,30.05
2009-01-04,27.55
2009-01-05,29.3
2009-01-06,30.25
2009-01-07,29.4
2009-01-08,29.25
2009-01-09,27.45
2009-01-10,29.25
2009-01-11,30.15
2009-01-12,30.85
2009-01-13,30.25
2009-01-14,29.9
2009-01-15,29.8
2009-01-16,29.5
2009-01-17,28.8
2009-01-18,28.65
